algorithm,n,height,time
SF,2160,631.172,0.0023529
FFDH,2170,569.366,0.003376
NFDH,2170,715.353,0.0002021
SF,2170,630.401,0.0025553
FFDH,2180,569.809,0.0032772
NFDH,2180,722.27,0.000198
SF,2180,636.446,0.0022817
FFDH,2190,588.255,0.0034088
NFDH,2190,733.344,0.0001783
SF,2190,647.087,0.0024745
FFDH,2200,579.226,0.003627
NFDH,2200,736.68,0.0001895
SF,2200,640.342,0.0024729
FFDH,2210,580.951,0.0034618
NFDH,2210,734.699,0.0002003
SF,2210,642.823,0.0024207
FFDH,2220,591.252,0.0035602
NFDH,2220,755.806,0.0001894
SF,2220,656.041,0.0026195
FFDH,2230,565.89,0.0034407
NFDH,2230,721.649,0.0001804
SF,2230,630.43,0.0023756
FFDH,2240,598.865,0.0036298
NFDH,2240,755.706,0.000182
SF,2240,668.569,0.0026351
FFDH,2250,597.559,0.003573
NFDH,2250,754.97,0.0001788
SF,2250,664.203,0.0025227
FFDH,2260,592.466,0.0036271
NFDH,2260,763.39,0.000186
SF,2260,660.03,0.0025846
FFDH,2270,608.181,0.0037856
NFDH,2270,776.82,0.000182
SF,2270,675.069,0.0025261
FFDH,2280,603.723,0.0037824
NFDH,2280,761.872,0.0001847
SF,2280,668.328,0.0026248
FFDH,2290,592.359,0.0035864
NFDH,2290,760.957,0.0001836
SF,2290,648.859,0.0029313
FFDH,2300,584.979,0.0036823
NFDH,2300,746.091,0.0001909
SF,2300,648.396,0.0024499
FFDH,2310,595.582,0.0035836
NFDH,2310,751.901,0.0001929
SF,2310,661.379,0.0024923
FFDH,2320,628.976,0.004252
NFDH,2320,793.238,0.0002406
SF,2320,691.192,0.0029081
FFDH,2330,601.445,0.0037984
NFDH,2330,772.241,0.0001902
SF,2330,670.233,0.002652
FFDH,2340,621.91,0.0040547
NFDH,2340,789.961,0.0002031
SF,2340,685.924,0.0029551
FFDH,2350,617.409,0.0038684
NFDH,2350,777.537,0.0002594
SF,2350,683.126,0.0028483
FFDH,2360,618.38,0.0038758
NFDH,2360,790.582,0.0002004
SF,2360,687.197,0.0027174
FFDH,2370,624.432,0.0039638
NFDH,2370,795.373,0.0002064
SF,2370,688.776,0.0028595
FFDH,2380,620.337,0.0039582
NFDH,2380,785.216,0.0002259
SF,2380,696.028,0.0028363
FFDH,2390,647.646,0.0040394
NFDH,2390,815.031,0.0002315
SF,2390,727.245,0.0029618
FFDH,2400,630.732,0.0041949
NFDH,2400,808.486,0.0002164
SF,2400,694.209,0.0027939
FFDH,2410,653.505,0.0041018
NFDH,2410,825.399,0.0002206
SF,2410,727.504,0.0030411
FFDH,2420,631.697,0.0042522
NFDH,2420,807.63,0.0002213
SF,2420,703.659,0.0028183
FFDH,2430,619.765,0.0040366
NFDH,2430,783.659,0.0002201
SF,2430,692.318,0.0033362
FFDH,2440,624.757,0.0041501
NFDH,2440,792.006,0.0002764
SF,2440,689.636,0.0028163
FFDH,2450,648.182,0.0040747
NFDH,2450,817.256,0.0002296
SF,2450,722.092,0.0029535
FFDH,2460,657.311,0.0044209
NFDH,2460,831.985,0.0002301
SF,2460,734.507,0.0029712
FFDH,2470,636.905,0.004239
NFDH,2470,809.427,0.0002243
SF,2470,708.95,0.0029721
FFDH,2480,639.585,0.0043887
NFDH,2480,822.968,0.0002311
SF,2480,708.298,0.0029731
FFDH,2490,657.735,0.0042589
NFDH,2490,830.754,0.0002274
SF,2490,721.66,0.0030212
FFDH,2500,650.082,0.0045041
NFDH,2500,834.892,0.0002269
SF,2500,721.637,0.0029498
FFDH,2510,656.191,0.0043195
NFDH,2510,835.871,0.0002228
SF,2510,734.369,0.0030106
FFDH,2520,670.949,0.00467
